,date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
0,2016-01-01,42,34,38.0,0.00,0.0,0
1,2016-01-02,40,32,36.0,0.00,0.0,0
2,2016-01-03,45,35,40.0,0.00,0.0,0
3,2016-01-04,36,14,25.0,0.00,0.0,0
4,2016-01-05,29,11,20.0,0.00,0.0,0
5,2016-01-06,41,25,33.0,0.00,0.0,0
6,2016-01-07,46,31,38.5,0.00,0.0,0
7,2016-01-08,46,31,38.5,0.00,0.0,0
8,2016-01-09,47,40,43.5,T,0.0,0
9,2016-01-10,59,40,49.5,1.80,0.0,0
10,2016-01-11,40,26,33.0,0.00,0.0,0
11,2016-01-12,44,25,34.5,0.00,T,0
12,2016-01-13,30,22,26.0,0.00,0.0,0
13,2016-01-14,38,22,30.0,0.00,T,0
14,2016-01-15,51,34,42.5,T,0.0,0
15,2016-01-16,52,42,47.0,0.24,0.0,0
16,2016-01-17,42,30,36.0,0.05,0.4,0
17,2016-01-18,31,18,24.5,T,T,T
18,2016-01-19,28,16,22.0,0.00,0.0,T
19,2016-01-20,37,27,32.0,0.00,0.0,T
20,2016-01-21,36,26,31.0,0.00,0.0,0
21,2016-01-22,30,21,25.5,0.01,0.2,0
22,2016-01-23,27,24,25.5,2.31,27.3,6
23,2016-01-24,35,20,27.5,T,T,22
24,2016-01-25,39,28,33.5,0.00,0.0,19
25,2016-01-26,48,38,43.0,0.00,0.0,17
26,2016-01-27,47,34,40.5,T,0.0,9
27,2016-01-28,42,32,37.0,0.00,0.0,6
28,2016-01-29,41,30,35.5,0.00,0.0,6
29,2016-01-30,39,28,33.5,0.00,0.0,6
30,2016-01-31,56,36,46.0,0.00,0.0,4
31,2016-02-01,59,44,51.5,0.01,0.0,2
32,2016-02-02,50,38,44.0,0.00,0.0,T
33,2016-02-03,59,42,50.5,0.73,0.0,0
34,2016-02-04,59,44,51.5,T,0.0,0
35,2016-02-05,44,31,37.5,0.53,2.5,1
36,2016-02-06,40,30,35.0,0.00,0.0,0
37,2016-02-07,47,33,40.0,0.00,0.0,0
38,2016-02-08,39,28,33.5,0.05,0.1,0
39,2016-02-09,36,27,31.5,0.00,T,T
40,2016-02-10,39,31,35.0,0.01,T,0
41,2016-02-11,31,18,24.5,T,T,0
42,2016-02-12,27,15,21.0,0.00,0.0,0
43,2016-02-13,22,6,14.0,0.00,0.0,0
44,2016-02-14,15,-1,7.0,0.00,0.0,0
45,2016-02-15,35,13,24.0,0.44,1.4,0
46,2016-02-16,54,35,44.5,1.01,0.0,0
47,2016-02-17,39,35,37.0,0.00,0.0,0
48,2016-02-18,36,27,31.5,0.00,0.0,0
49,2016-02-19,39,24,31.5,0.00,0.0,0
50,2016-02-20,61,39,50.0,0.00,0.0,0
51,2016-02-21,55,44,49.5,0.03,0.0,0
52,2016-02-22,52,38,45.0,0.00,0.0,0
53,2016-02-23,40,35,37.5,0.30,T,0
54,2016-02-24,60,36,48.0,1.22,0.0,0
55,2016-02-25,61,37,49.0,0.02,0.0,0
56,2016-02-26,39,27,33.0,0.00,0.0,0
57,2016-02-27,41,26,33.5,0.00,0.0,0
58,2016-02-28,60,38,49.0,0.00,0.0,0
59,2016-02-29,61,47,54.0,0.05,0.0,0
60,2016-03-01,52,39,45.5,0.00,0.0,0
61,2016-03-02,55,29,42.0,0.14,0.0,0
62,2016-03-03,36,26,31.0,0.00,0.0,0
63,2016-03-04,39,30,34.5,0.11,0.4,T
64,2016-03-05,41,28,34.5,0.00,0.0,0
65,2016-03-06,44,32,38.0,0.00,0.0,0
66,2016-03-07,60,36,48.0,0.00,0.0,0
67,2016-03-08,67,47,57.0,0.00,0.0,0
68,2016-03-09,77,44,60.5,0.00,0.0,0
69,2016-03-10,79,63,71.0,0.00,0.0,0
70,2016-03-11,68,48,58.0,0.06,0.0,0
71,2016-03-12,59,40,49.5,0.00,0.0,0
72,2016-03-13,62,50,56.0,T,0.0,0
73,2016-03-14,51,40,45.5,0.29,0.0,0
74,2016-03-15,57,44,50.5,0.00,0.0,0
75,2016-03-16,65,48,56.5,0.02,0.0,0
76,2016-03-17,63,45,54.0,T,0.0,0
77,2016-03-18,57,42,49.5,0.00,0.0,0
